article_id,entail_prob,hallucination_penalty,top1
0,0.9863271713256836,0.0,Harry Potter star Daniel Radcliffe turns 18 on Monday. He gains access to a reported £20 million ($41.1 million) fortune. Radcliffe's earnings from the first five Potter films have been held in a trust fund. Details of how he'll mark his landmark birthday are under wraps.
1,0.9395986199378967,0.12,"Judge Steven Leifman is an advocate for justice and the mentally ill. About one-third of all people in Miami-Dade county jails are mentally ill, he says. He says the sheer volume is overwhelming the system. Starting in 2008, many inmates will be sent to a new mental health facility."
2,0.8817133903503418,0.0,"""I probably had a 30-, 35-foot free fall,"" survivor Gary Babineau says. Dr. John Hink says he saw dozens of people lying dazed on an expansive deck. ""I could see the whole bridge as it was going down,"" survivor says."
3,0.9324330687522888,0.0,"Doctors remove five small polyps from President Bush's colon. All were small, less than a centimeter [half an inch] in diameter. Bush reclaimed presidential power at 9:21 a.m. after about two hours. Vice President Dick Cheney assumed presidential power."
4,0.9596941471099854,0.0,"NEW: Atlanta Falcons owner Arthur Blank calls Vick's actions ""incomprehensible"" Vick agrees to plead guilty to one count of ""Conspiracy to Travel in Interstate Commerce"" Vick's admission that he was involved in the killing of dogs could lead to local charges. NFL Commissioner Roger Goodell suspends Vick without pay."
5,0.8153616786003113,0.0,"""I was so happy I didn't know what to do with myself,"" Youssif's mother says. ""We just want to thank everyone who has come forward,"" his father says. The Children's Burn Foundation has agreed to pay for the family's travel to the U.S. ""He will be getting the absolute best care that's available,"" foundation says."
7,0.9864827990531921,0.0,"Tomas Medina Caracas was a member of the high command of the FARC. U.S. officials say he helped manage the group's extensive cocaine trafficking network. He was indicted in the United States along with two other FARC commanders. FARC is Colombia's oldest, largest, most capable and best-equipped rebel group."
9,0.9915522933006287,0.12,"Rocket launcher tube found on front lawn of Jersey City, New Jersey, home. 20-year-old AT4 anti-tank rocket launcher tube is a one-time-use device. launcher has been turned over to U.S. Army officials at Fort Monmouth."
10,0.9540167450904846,0.0,"President Bush to tell Veterans of Foreign Wars that withdrawal from Vietnam emboldened terrorists. Bush: ""The price of America's withdrawal was paid by millions of innocent citizens"" White House billing speech as effort to ""provide broader context"" for Iraq progress report. President Bush has asked lawmakers to withhold judgment on troop ""surge"" in Iraq."
11,0.9839887022972107,0.0,"Police defuse a bomb consisting of 200 liters of fuel, gas cylinders and nails. A second car packed with gas and nails was later found to have been parked. Two weeks after the deadly 7/7 bombings, four men are alleged to have attempted to carry out a second wave of attacks."
12,0.9892992973327637,0.12,Carlos Alberto joins Werder Bremen for a club record fee of $10.7 million. The 22-year-old scored in FC Porto's Champions League final victory in 2004. He is the third top Brazilian player to join the Bundesliga in three days.
13,0.9648584723472595,0.0,"Vice President Dick Cheney will serve as acting president briefly Saturday. President Bush is scheduled to have a routine colonoscopy at Camp David, Maryland. White House spokesman Tony Snow says no abnormalities were found in 2002 procedure. Snow himself is undergoing chemotherapy for cancer that began in his colon."
14,0.8939896821975708,0.5,"NEW: About 2,000 customers without power. Quake centered about two miles east-northeast of Oakland, at a depth of 3.6 miles. Oakland is just east of San Francisco, across San Francisco Bay. Quake set off alarms at people's homes."
15,0.9343136548995972,0.0,"NEW: President Bush: ""A difficult decision was made to end the search"" NEW: Labor Secretary Elaine Chao calls the ordeal ""heartbreaking"" The six miners have been trapped in a Utah coal mine for almost a month. Tests showed underground oxygen levels were too low to sustain human life."
16,0.9617575407028198,0.12,"At least 14 people killed, 60 others wounded in attack in Batna, east of Algiers. Bomb went off 15 minutes before expected arrival of President Abdel-Aziz Bouteflika. Algeria faces a continuing Islamic insurgency, according to the CIA. No immediate claim of responsibility."
17,0.9623718857765198,0.0,Beckham has begun a five-year contract with the Los Angeles Galaxy team. CNN looks at how Bekham fulfilled his dream of playing for Manchester United. The road to major league football in the U.S. is a well-worn route for some of world's greatest players.
18,0.9950761198997498,0.0,"Virus found in healthy Australian honey bees may be playing a role in U.S. colony collapse. Colony collapse disorder has killed millions of bees, imperiling crops. Virus identified in the healthy Australian bees is Israeli Acute Paralysis Virus (IAPV) Although worker bees in colony collapse disorder vanish, bees infected with IAPV die."
19,0.9666790962219238,0.0,"Savers at leading UK mortgage bank line up for second day to empty accounts. Northern Rock was bailed out by the Bank of England after slashing profit forecasts. Shares in Northern Rock dropped up to 30 percent in Friday trading. British Bankers' Association has urged customers to ""calm down."""
20,0.9711213111877441,0.12,NEW: O.J. Simpson will be held without bail after his arrest on robbery charges. NEW: Police say they have no information leading them to believe Simpson was carrying a firearm. Simpson is accused of directing several other men in an alleged armed robbery. Two firearms that police say were used were recovered early Sunday.
21,0.9644976258277893,0.0,"Nigeria's television survival show has been suspended after a contestant drowned. Anthony Ogadje, 25, and nine other contestants had gone to Shere Hills Lake. ""Gulder Ultimate Search"" sets a variety of physical challenges for participants. The winner was to get 5 million naira (about $39,000) in cash."
22,0.9743353128433228,0.0,"Roy Lynn Oakley, 67, of Roane County, Tennessee, appeared in federal court in Knoxville on Thursday. Oakley is a former employee of Bechtel Jacobs, the Department of Energy's prime environmental management contractor. Sources: Oakley was briefly detained for questioning in the case in January."
